SerumLevelInNgPerMl,OV/BV
7.49,0
12,0
7.49,0
2.09,0
9.12,0
4.59,0
3.34,0
1.48,0
5.03,0
21,0.0530736584426137
5.42,0.0530736584426137
5.63,0.0530736584426137
12,0.0530736584426137
12,0.0530736584426137
14,0.0530736584426137
3.92,0.0530736584426137
2.61,0.0530736584426137
3.04,0.0530736584426137
9.7,0.0530736584426137
5.7,0.0530736584426137
11,0.0530736584426137
7.49,0.0530736584426137
5.7,0.0530736584426137
4.59,0.0530736584426137
9.99,0.0530736584426137
4.54,0.0961872072438155
34,0.0961872072438155
18,0.0961872072438155
21,0.0961872072438155
9.03,0.0961872072438155
9.03,0.0961872072438155
4.37,0.0961872072438155
7.49,0.0961872072438155
22,0.0961872072438155
9.03,0.0961872072438155
7.49,0.0961872072438155
7.49,0.133106482911124
7.63,0.133106482911124
6.08,0.133106482911124
12,0.133106482911124
7.49,0.133106482911124
7.49,0.133106482911124
2.83,0.133106482911124
19,0.133106482911124
7.19,0.133106482911124
8.01,0.133106482911124
9.03,0.133106482911124
2.09,0.133106482911124
9.99,0.133106482911124
4.54,0.133106482911124
1.48,0.133106482911124
30.9,0.133106482911124
47,0.133106482911124
24,0.133106482911124
5.79,0.133106482911124
5.42,0.133106482911124
9.7,0.133106482911124
15,0.133106482911124
1.94,0.133106482911124
17,0.176466394848326
2.09,0.176466394848326
8.01,0.176466394848326
46,0.176466394848326
2.09,0.176466394848326
9.99,0.176466394848326
3.72,0.176466394848326
10.7,0.176466394848326
4.82,0.176466394848326
2.9,0.176466394848326
7.04,0.176466394848326
7.49,0.176466394848326
7.41,0.176466394848326
17,0.176466394848326
10.8,0.176466394848326
4.82,0.176466394848326
5.7,0.176466394848326
11,0.176466394848326
4.23,0.176466394848326
4.74,0.220846954063276
14,0.220846954063276
7.49,0.220846954063276
7.49,0.220846954063276
1.48,0.220846954063276
5.63,0.220846954063276
12,0.220846954063276
2.75,0.220846954063276
4.01,0.220846954063276
3.34,0.220846954063276
9.99,0.220846954063276
4.29,0.220846954063276
1.48,0.220846954063276
3.34,0.220846954063276
2.23,0.220846954063276
38,0.220846954063276
1.48,0.220846954063276
9.12,0.220846954063276
2.9,0.220846954063276
9.99,0.220846954063276
8.23,0.220846954063276
6.61,0.253648445885901
6.52,0.253648445885901
22.3,0.253648445885901
3.34,0.253648445885901
11,0.253648445885901
8.23,0.253648445885901
3.72,0.253648445885901
7.92,0.253648445885901
13.6,0.253648445885901
7.49,0.300950167999211
8.45,0.300950167999211
27,0.300950167999211
2.52,0.300950167999211
7.63,0.300950167999211
24,0.300950167999211
9.03,0.300950167999211
15,0.300950167999211
2.9,0.300950167999211
1.48,0.300950167999211
9.17,0.300950167999211
25,0.300950167999211
13,0.353988631708113
3.92,0.353988631708113
2.01,0.353988631708113
6.3,0.353988631708113
1.48,0.353988631708113
4.89,0.353988631708113
8.01,0.353988631708113
3.2,0.353988631708113
8.01,0.353988631708113
18,0.353988631708113
5.03,0.353988631708113
7.49,0.353988631708113
2.83,0.353988631708113
18,0.386754928797018
8.23,0.386754928797018
19,0.386754928797018
13,0.386754928797018
1.48,0.386754928797018
12,0.386754928797018
1.48,0.386754928797018
17,0.386754928797018
1.48,0.386754928797018
23,0.386754928797018
8.74,0.434091845644048
12,0.434091845644048
7.49,0.434091845644048
7.49,0.434091845644048
28,0.434091845644048
4.89,0.434091845644048
15,0.467174895336392
1.48,0.467174895336392
1.48,0.467174895336392
8.15,0.467174895336392
7.04,0.467174895336392
7.49,0.467174895336392
1.48,0.467174895336392
7.49,0.467174895336392
9.92,0.467174895336392
16,0.467174895336392
5.12,0.467174895336392
8.29,0.467174895336392
13,0.467174895336392
13,0.467174895336392
1.48,0.511203507214191
6.3,0.511203507214191
41.7,0.511203507214191
7.49,0.511203507214191
1.48,0.511203507214191
9.03,0.511203507214191
2.23,0.511203507214191
2.75,0.511203507214191
6.22,0.511203507214191
7.92,0.511203507214191
2.9,0.511203507214191
7.49,0.554352250749105
19,0.554352250749105
5.79,0.554352250749105
4.08,0.554352250749105
17,0.554352250749105
1.48,0.554352250749105
7.49,0.554352250749105
1.48,0.554352250749105
4.34,0.554352250749105
9.68,0.554352250749105
18,0.554352250749105
6.26,0.554352250749105
13,0.554352250749105
13,0.554352250749105
7.39,0.554352250749105
4.21,0.591588279019852
5.09,0.591588279019852
4.21,0.591588279019852
7.45,0.591588279019852
44.2,0.591588279019852
2.72,0.591588279019852
6.85,0.591588279019852
2.58,0.591588279019852
5.31,0.591588279019852
8.5,0.634772217288472
6.85,0.634772217288472
14,0.634772217288472
7.45,0.634772217288472
7.45,0.634772217288472
15,0.634772217288472
7.39,0.634772217288472
7.45,0.634772217288472
3.75,0.634772217288472
3.9,0.634772217288472
11,0.677850571355961
42.7,0.677850571355961
16,0.677850571355961
1.45,0.677850571355961
33.2,0.677850571355961
7.45,0.677850571355961
7.45,0.677850571355961
2.87,0.677850571355961
1.45,0.677850571355961
44.5,0.677850571355961
7.45,0.714910625958126
9.4,0.714910625958126
6.19,0.714910625958126
8.78,0.714910625958126
7.3,0.714910625958126
9.97,0.714910625958126
4.21,0.714910625958126
15,0.714910625958126
33,0.714910625958126
4.34,0.714910625958126
5.62,0.714910625958126
19,0.714910625958126
7.45,0.714910625958126
7.98,0.767878700199603
16,0.767878700199603
12.8,0.767878700199603
6.48,0.767878700199603
30.7,0.767878700199603
7.45,0.767878700199603
8.85,0.767878700199603
12,0.767878700199603
2.28,0.767878700199603
11,0.767878700199603
7.98,0.767878700199603
14,0.767878700199603
7.3,0.767878700199603
6.26,0.767878700199603
3.38,0.767878700199603
9.4,0.767878700199603
9.09,0.767878700199603
6.48,0.767878700199603
7.45,0.767878700199603
25,0.767878700199603
31,0.767878700199603
14,0.767878700199603
36.7,0.767878700199603
34,0.812048091012251
7.45,0.812048091012251
14,0.812048091012251
7.98,0.812048091012251
7.45,0.812048091012251
27,0.812048091012251
4.04,0.812048091012251
3.75,0.812048091012251
7.9,0.812048091012251
5.66,0.812048091012251
31,0.812048091012251
38.3,0.812048091012251
7.45,0.812048091012251
11,0.855302418748309
2.58,0.855302418748309
15,0.855302418748309
1.97,0.855302418748309
1.45,0.855302418748309
40.6,0.855302418748309
1.45,0.855302418748309
12,0.855302418748309
16,0.855302418748309
31.6,0.882719116312501
7.45,0.882719116312501
24,0.882719116312501
7.3,0.882719116312501
47.6,0.882719116312501
38.4,0.882719116312501
4.34,0.882719116312501
45.2,0.882719116312501
3.75,0.882719116312501
3.61,0.882719116312501
30.2,0.882719116312501
5.91,0.882719116312501
12,0.882719116312501
17,0.935651995820251
8.99,0.935651995820251
7.45,0.935651995820251
3.08,0.935651995820251
1.45,0.935651995820251
12,0.935651995820251
4.21,0.935651995820251
8.21,0.935651995820251
33.4,0.935651995820251
16,0.935651995820251
6.19,0.935651995820251
25,0.935651995820251
3.9,0.935651995820251
34.6,0.935651995820251
47.8,0.935651995820251
7.45,0.935651995820251
3.47,0.978835934088877
6.56,0.978835934088877
48.4,0.978835934088877
9.74,0.978835934088877
7.3,0.978835934088877
17,0.978835934088877
41.3,0.978835934088877
8.12,0.978835934088877
1.45,0.978835934088877
1.45,0.978835934088877
1.45,0.978835934088877
36.7,0.978835934088877
9.97,1.01572001502247
7.75,1.01572001502247
34,1.01572001502247
12,1.01572001502247
3.38,1.01572001502247
7.45,1.01572001502247
8.85,1.01572001502247
23,1.01572001502247
35.6,1.01572001502247
9.97,1.01572001502247
6.05,1.01572001502247
5.09,1.01572001502247
29,1.01572001502247
31.7,1.01572001502247
9.4,1.05848161648652
15,1.05848161648652
35,1.05848161648652
5.38,1.05848161648652
7.9,1.05848161648652
38.6,1.05848161648652
5.31,1.11303345374517
36.5,1.11303345374517
30,1.11303345374517
9.97,1.11303345374517
1.45,1.11303345374517
25,1.11303345374517
3.3,1.11303345374517
39.5,1.11303345374517
3.69,1.11303345374517
2.34,1.11303345374517
20,1.11303345374517
4.26,1.11303345374517
33.9,1.11303345374517
11,1.14618689290494
5.91,1.14618689290494
1.45,1.14618689290494
11,1.14618689290494
12,1.14618689290494
24,1.14618689290494
7.45,1.14618689290494
35,1.14618689290494
20,1.14618689290494
37,1.14618689290494
1.45,1.14618689290494
4.79,1.14618689290494
16,1.14618689290494
5.66,1.14618689290494
32.5,1.14618689290494
31.6,1.14618689290494
1.45,1.14618689290494
5.17,1.14618689290494
1.45,1.14618689290494
3.01,1.14618689290494
7.45,1.14618689290494
2.34,1.14618689290494
32.6,1.14618689290494
4.55,1.14618689290494
4.72,1.14618689290494
4.51,1.18338772644199
3.47,1.18338772644199
8.55,1.18338772644199
36.4,1.18338772644199
7.45,1.18338772644199
11,1.18338772644199
8.55,1.18338772644199
3.7,1.2364613848846
11,1.2364613848846
9.61,1.2364613848846
5.03,1.2364613848846
1.47,1.2364613848846
13,1.27953973895208
9.99,1.27953973895208
6.05,1.27953973895208
7.92,1.27953973895208
2.72,1.27953973895208
2.81,1.27953973895208
6.57,1.31663498828797
11,1.31663498828797
9.17,1.31663498828797
7.77,1.31663498828797
4.79,1.31663498828797
15,1.31663498828797
3.98,1.31663498828797
9.99,1.31663498828797
16,1.35978373182288
28,1.35978373182288
1.47,1.35978373182288
5.99,1.35978373182288
2.58,1.35978373182288
2.89,1.35978373182288
1.47,1.35978373182288
6.5,1.35978373182288
7.49,1.35978373182288
1.47,1.35978373182288
4.21,1.35978373182288
5.03,1.40405870683668
9.99,1.40405870683668
1.47,1.40405870683668
5.62,1.40405870683668
18,1.40405870683668
3.1,1.40405870683668
1.47,1.40405870683668
21,1.44689069776815
26,1.44689069776815
7.98,1.44689069776815
2.58,1.44689069776815
7.49,1.44689069776815
19,1.44689069776815
13,1.44689069776815
7.68,1.48433789444119
8.74,1.48433789444119
20,1.48433789444119
4.79,1.48433789444119
1.47,1.48433789444119
8.43,1.48433789444119
5.32,1.48433789444119
1.47,1.48433789444119
23,1.48433789444119
9.7,1.48433789444119
1.91,1.48433789444119
31,1.53723557921523
13,1.53723557921523
29,1.53723557921523
1.47,1.53723557921523
13.9,1.57021304470643
6.87,1.57021304470643
1.47,1.57021304470643
8.21,1.57021304470643
4.51,1.57021304470643
13,1.57021304470643
4.59,1.57021304470643
7.63,1.57021304470643
15,1.57021304470643
7.49,1.61733879315117
4.29,1.61733879315117
4.79,1.61733879315117
3.7,1.61733879315117
12.6,1.61733879315117
3.92,1.61733879315117
5.11,1.61733879315117
6.5,1.61733879315117
15,1.65035145337608
18,1.65035145337608
4.89,1.65035145337608
16,1.65035145337608
4.29,1.65035145337608
8.89,1.65035145337608
4.35,1.69459123365617
17,1.69459123365617
5.77,1.69459123365617
22.2,1.69459123365617
4.35,1.69459123365617
7.49,1.7410130874266
9.99,1.7410130874266
13,1.7410130874266
10.4,1.7410130874266
8.21,1.78507689403811
7.77,1.78507689403811
7.68,1.78507689403811
21,1.78507689403811
1.47,1.78507689403811
7.49,1.81798397006188
27,1.81798397006188
1.47,1.81798397006188
8.78,1.81798397006188
5.47,1.81798397006188
6.72,1.81798397006188
3.7,1.81798397006188
9.99,1.86525049744147
15.4,1.86525049744147
11,1.86525049744147
1.91,1.86525049744147
1.63,1.86525049744147
3.77,1.86525049744147
3.92,1.86525049744147
2.36,1.86525049744147
1.47,1.89815757346525
7.49,1.89815757346525
7.98,1.89815757346525
21,1.89815757346525
12.5,1.89815757346525
7.03,1.95130162137529
13,1.98860803911347
9.03,1.98860803911347
9.32,1.98860803911347
4.29,2.03165119844724
5.47,2.03165119844724
3.98,2.06582528488475
9.17,2.06582528488475
28,2.16609508123954
7.49,2.11893413806109
7.98,2.11893413806109
5.91,2.11893413806109
17,2.15592380319583
3.98,2.15592380319583
15,2.15592380319583
10.5,2.15592380319583
5.99,2.15592380319583
18,2.15592380319583
7.49,2.19900215726331
4.51,2.19900215726331
4.79,2.19900215726331
1.47,2.19900215726331
1.47,2.2423268744668
7.39,2.2423268744668
14.4,2.2423268744668
1.63,2.2423268744668
1.47,2.2423268744668
19,2.27938692906896
7.49,2.27938692906896
6.22,2.27938692906896
12,2.32253567260388
9.11,2.32253567260388
13.6,2.32253567260388
5.7,2.32253567260388
2.58,2.32253567260388
7.92,2.36677545288396
7.39,2.36677545288396
9.99,2.36677545288396
4.59,2.40971302801658
26,2.40971302801658
4.79,2.40971302801658
11,2.40971302801658
11.8,2.40971302801658
5.32,2.40971302801658
9.91,2.44698425102104
1.03,2.44698425102104
19,2.44698425102104
1.47,2.44698425102104
10.9,2.44698425102104
4.89,2.44698425102104
6.57,2.49998751999623
4.89,2.49998751999623
1.47,2.49998751999623
5.47,2.53289459602
1.47,2.53289459602
8.74,2.53289459602
3.49,2.53289459602
6.43,2.53289459602
13,2.53289459602
8.78,2.5801611233996
1.47,2.5801611233996
7.49,2.5801611233996
7.03,2.61324417309195
4.59,2.61324417309195
5.11,2.61324417309195
9.61,2.61324417309195
6.87,2.65713200603487
11,2.65713200603487
7.92,2.70063269690694
8.5,2.70063269690694
9.03,2.70063269690694
15.7,2.70063269690694
1.47,2.74793441902025
6.5,2.74793441902025
6.72,2.74793441902025
11,2.74793441902025
17.6,2.74793441902025
20,2.74793441902025
13,2.78073591084288
7.18,2.78073591084288
12,2.78073591084288
3.63,2.83380956928549
14,2.83380956928549
1.47,2.83380956928549
19,2.84355851052462
1.62,2.84355851052462
1.45,2.92415445073257
2.72,2.95822295296895
1.45,3.01147258508013
14,3.04863822388345
3.38,3.0916461884835
5.31,3.0916461884835
3.47,3.1347597372847
4.72,3.1347597372847
4.34,3.1347597372847
1.45,3.17185498662059
4.04,3.21475736701949
6.85,3.25913792623444
4.04,3.25913792623444
19,3.25913792623444
17,3.25913792623444
9.43,3.38242507843901
1.45,3.42567940617506
6.48,3.45270896166838
4.86,3.45270896166838
7.16,3.45270896166838
15,3.51577792448612
5.91,3.53978073287994
3.38,3.53978073287994
3.75,3.60302566936627
4.72,3.63016080906073
3.69,3.68344563590564
6.19,3.71670465926657
4.04,3.76340807090671
2.05,3.76340807090671
2.87,3.76340807090671
3.69,3.76340807090671
21,3.80676798284392
14,3.80676798284392
14.4,3.85079659472171
5.45,3.85079659472171
12,3.85079659472171
18.7,3.8938749487892
8.5,3.93114617179366
6.05,3.98414944076885
21,4.10750698244083
3.69,4.15157078905235
3.61,4.18472422821212
4.26,4.18472422821212
21.9,4.24173969683085
3.18,4.26496822108292
19,4.26496822108292
24,4.40852753990747
5,4.40852753990747
2.87,4.59875507563846
11,4.65615768632806
12,4.6892407360204
4.34,4.6892407360204
9.97,4.6892407360204
1.45,4.74326465227333
7.08,4.77641809143311
5.31,4.85655650010276
13,4.90973574274653
14,4.90973574274653
4.04,5.00004542945989
9.97,5.11453389823563
8.41,5.16746677774339
7.98,5.23785624517391
2.58,5.23785624517391
3.38,5.23785624517391
19,5.37106831228618
8.41,5.37106831228618
2.34,5.41527289783255
4.86,5.48509924952363
10.8,5.82926855052518
8.78,5.89261907121265
7.39,5.89261907121265
5.91,5.90965332233085
5.31,6.21042751666148
7.45,6.2978864299439
5.09,6.64159819940716
5,6.80215657461618
5.66,6.85540620672737
8.7,6.85540620672737
12.2,7.48120376691845
6.79,7.72760209765899
2.34,7.78208354545023
3.18,8.58709268971941
1.45,9.01129481518947
6.99,9.42662786776329
1.45,10.3091710104072
6.7,12.4179338704246
1.45,14.4937544596845
2.34,15.7673814833724
2.87,15.9279046638477
5.45,16.5195985270687
13,17.4550393544866
